departure location: 47-164 or 179-960
departure station: 49-808 or 833-968
departure platform: 50-561 or 567-964
departure track: 29-407 or 416-954
departure date: 48-317 or 339-965
departure time: 42-366 or 390-952
arrival location: 45-292 or 304-974
arrival station: 26-255 or 266-951
arrival platform: 47-225 or 243-957
arrival track: 37-442 or 452-954
class: 35-120 or 127-958
duration: 47-642 or 659-972
price: 39-509 or 535-962
route: 47-705 or 729-962
row: 49-480 or 494-959
seat: 28-846 or 865-969
train: 30-598 or 606-968
type: 42-905 or 924-965
wagon: 29-884 or 899-973
zone: 39-790 or 803-969

your ticket:
79,67,101,89,131,107,139,113,127,83,137,53,71,149,73,97,59,61,109,103

nearby tickets:
132,244,97,308,641,251,155,157,783,748,330,665,873,111,736,943,570,463,254,305
274,568,501,738,458,742,271,756,320,572,194,213,667,456,625,617,705,468,739,756
57,359,808,104,882,270,613,285,780,430,497,434,895,67,735,688,901,310,668,288
732,132,437,243,772,677,641,872,163,222,153,360,342,669,399,222,112,128,607,175
217,254,840,734,185,777,315,131,947,671,767,928,660,458,246,5,76,782,780,111
273,701,102,731,899,738,89,784,391,586,146,472,449,69,761,339,138,255,779,346
689,877,98,618,748,418,788,593,117,803,702,547,116,131,766,70,506,310,529,782
300,742,398,112,678,837,840,937,773,632,903,729,551,667,576,881,85,584,152,865
248,133,219,192,65,390,607,419,877,441,75,211,115,315,202,766,400,293,749,437
361,73,565,693,159,660,163,944,117,281,758,267,871,739,479,926,631,506,362,190
767,741,881,691,355,769,456,507,496,695,391,928,508,979,460,778,90,836,772,871
797,418,634,574,452,608,465,286,555,623,274,672,429,224,268,544,75,688,842,133
249,752,585,350,406,544,928,590,100,746,769,501,915,187,731,66,64,57,762,149
397,132,635,677,292,340,871,461,58,149,295,160,785,356,471,402,561,661,611,146
677,201,551,630,941,453,304,495,92,928,688,471,594,838,610,341,349,730,300,194
406,731,543,65,393,137,64,78,206,462,383,439,680,424,100,406,95,51,198,665
781,457,876,773,341,502,466,211,512,584,462,153,930,548,426,182,188,771,468,192
771,113,774,339,930,672,399,939,205,317,276,596,866,113,180,720,199,308,401,642
311,252,703,94,571,314,467,50,595,272,845,853,442,250,204,869,163,904,475,348
201,187,67,838,474,346,50,829,682,456,845,757,469,700,627,184,667,498,749,58
922,58,224,65,159,737,745,837,365,561,358,750,67,692,149,192,247,66,75,502
158,660,139,743,889,50,569,253,65,535,148,113,344,543,214,808,407,757,452,947
64,313,618,360,193,752,405,702,903,212,350,394,571,682,310,462,945,922,639,351
304,766,284,835,137,609,402,364,782,931,764,507,436,589,303,507,628,933,750,499
808,433,583,438,834,940,755,629,569,628,638,920,878,139,621,363,755,131,339,935
782,130,144,584,558,696,783,72,363,215,15,132,393,549,941,279,429,940,634,343
676,597,635,291,574,762,267,341,395,346,675,698,769,101,402,694,619,462,917,572
686,253,296,606,507,665,736,152,160,109,938,51,208,117,782,595,142,316,833,351
158,354,68,541,499,394,586,577,662,424,551,783,537,247,309,301,779,137,784,144
315,874,97,94,631,671,190,788,784,590,218,117,807,213,697,983,476,637,288,846
277,344,583,182,467,501,196,757,900,480,342,544,868,559,86,978,53,339,682,899
213,130,463,196,545,789,596,939,841,307,704,937,315,805,900,545,191,169,873,940
52,70,284,254,617,110,247,504,93,281,364,143,758,348,931,290,341,804,689,490
142,295,398,287,757,148,754,701,865,459,396,83,659,85,117,317,549,790,839,785
88,758,703,191,272,846,737,270,772,554,361,101,838,779,462,667,288,780,491,400
554,760,750,132,138,733,148,852,353,105,244,613,683,63,103,500,629,756,220,390
146,701,705,574,538,180,390,395,608,420,982,554,55,734,836,701,548,480,194,467
